# ALL Latin-script runs in body — 1643 distinct, 3608 occurrences
# count	first_line	term
2	542	Optimising Net Zero
2	1441	OS threads
2	2108	Pair Programming
2	510	Part
2	1538	patches
2	1121	pattern matching
2	778	Pipeline
2	80	Platform
2	591	polling
2	1540	PostgreSQL driver
2	1377	PostgreSQL Flexible Server
2	2348	PR review
2	2511	Pragmatic Bookshelf. ISBN
2	1628	project
2	1661	PromQL
2	1711	pull request
2	858	queries
2	1569	query
2	2433	rail
2	1825	rate limiting
2	1481	React
2	955	read models
2	1925	Recovery Time Objective
2	472	reefer
2	262	Regional Product Management
2	1237	Remaining Fuel on Board
2	1573	replay
2	1890	reports
2	1626	reproducibility
2	693	RoB_
2	1612	rolling updates
2	1925	RTO
2	1477	Ruby on Rails
2	835	run ID
2	1649	runner
2	1691	runtime
2	1689	runtime secrets
2	1606	SAML SSO
2	463	SBTi Maritime Guidance
2	249	scalability
2	356	scope
2	303	scopes
2	325	Scopes
2	1608	self-hosted
2	239	self-service
2	72	Services
2	2421	shore power
2	1479	SPA
2	1584	SQL
2	1584	SQL interface
2	1329	SQL Server
2	1249	stdio
2	1333	stored procedures
2	634	streaming
2	1441	supervisor
2	1329	system of record
2	1715	Telemetry
2	1055	Template
2	72	Terminals
2	2421	terminals
2	96	test-driven development
2	2147	Test-Driven Development
2	136	TEU
2	2525	Thomas
2	1121	timestamp
2	1649	token
2	375	tonne-km
2	72	Towage
2	1321	trace
2	1665	Traces
2	1538	transactions
2	407	TTW CO
2	2131	Tuple
2	1188	ULSFO
2	733	Ultra Low Sulfur Fuel Oil
2	858	unit testing
2	341	upstream
2	1761	use case
2	2139	user stories
2	1665	v0.14.4
2	2527	Vernon
2	728	vessel
2	1803	vessel data
2	1481	Vue
2	1655	Web Components
2	1612	web server
2	400	Well-to-Tank
2	943	withdrawal
2	2051	worker pod
2	1647	workflows
2	1713	wrapper
2	505	WRI/WBCSD
2	2529	Young
2	1927	zero-downtime deployments
1	2523	A Craftsman's Guide to Software Structure and Design
1	166	ABS
1	1586	abstraction layer
